NMUESTRA,LONGITUD,LATITUD,ELEVACION,Pathf Au-Ag,Perjudiciales lixivcn,,,,,,,,,,,,
13039,796835.53,82050.89,1598.75,-4.78826651,-6.860736721,,,,,,,,,,,,
13043,797756.01,80422.71,1598.13,-4.828634612,-6.97364897,,,,,,,,,,,,
13051,790198.93,95788.34,699.2,-5.345353195,-7.912649357,,,,,,,,,,,,
13053,801991.76,94351.43,900.44,-5.229491411,-7.629928507,,,,,,,,,,,,
13057,806691.53,92491.56,894.05,-5.016029598,-7.387854762,,,,,,,,,,,,
13059,807765.70,86846.11,1529.85,-5.096569725,-7.452510426,,,,,,,,,,,,
13064,790058.64,94691.99,706.63,-5.353813582,-7.904067897,,,,,,,,,,,,
13070,810112.55,89578.15,897.63,-5.285741147,-7.415269813,,,,,,,,,,,,
13076,793988.91,84191.14,1399.17,-5.045941381,-7.366561937,,,,,,,,,,,,
13085,808084.66,85097.95,1636.02,-4.94863567,-7.063037582,,,,,,,,,,,,
13090,793645.79,84157.36,1400.92,-5.188392838,-7.692267425,,,,,,,,,,,,
13091,792277.38,85659.67,1199.85,-5.278123763,-7.77094832,,,,,,,,,,,,
13102,808178.86,85049.97,1617.74,-4.963096061,-7.225651814,,,,,,,,,,,,
13109,810534.70,79039.10,1606.46,-4.818324179,-7.011737981,,,,,,,,,,,,
13111,788873.44,90244.65,899.42,-5.245568133,-7.885737044,,,,,,,,,,,,
13114,808635.98,83379.73,1823.27,-5.07915533,-7.184641756,,,,,,,,,,,,
13124,788727.36,90139.67,897.8,-5.274413432,-7.89619643,,,,,,,,,,,,
13135,801347.97,94908.16,888.2,-5.155719488,-7.438616351,,,,,,,,,,,,
13137,800214.46,81134.32,1975.51,-4.858404592,-7.292527018,,,,,,,,,,,,
13139,802114.91,94270.51,900.83,-5.056130179,-7.330167478,,,,,,,,,,,,
13141,789130.97,92483.27,811.77,-5.154305422,-7.37270455,,,,,,,,,,,,
13152,809968.96,79054.00,1799.34,-4.642318158,-6.205698078,,,,,,,,,,,,
13154,808512.89,92577.19,901.04,-5.390335747,-7.895047028,,,,,,,,,,,,
13161,789640.45,79546.75,1599.78,-5.219470559,-7.781204631,,,,,,,,,,,,
13162,810305.11,92475.73,1005.42,-5.333978469,-7.825830537,,,,,,,,,,,,
13163,792134.96,85656.03,1199.94,-5.260198347,-7.823146684,,,,,,,,,,,,
13165,810400.85,79018.74,1625.74,-4.652007548,-6.840898236,,,,,,,,,,,,
13166,798918.88,95582.86,774.86,-5.259790361,-7.684489004,,,,,,,,,,,,
13171,793262.58,88404.03,1200.66,-5.391879204,-7.972469704,,,,,,,,,,,,
13175,789698.97,79621.20,1599.79,-5.049926892,-7.41166995,,,,,,,,,,,,
13177,793470.55,88448.57,1200.67,-5.398181068,-7.948519347,,,,,,,,,,,,
13185,802512.84,92095.41,1200.39,-4.956732336,-6.962029483,,,,,,,,,,,,
13187,799805.68,80250.22,1785.11,-4.922634984,-7.169099182,,,,,,,,,,,,
13189,800015.54,81075.31,1968.1,-4.263382758,-4.915056592,,,,,,,,,,,,
13191,802277.80,92154.19,1199.55,-5.0150012,-7.392188239,,,,,,,,,,,,
